,block_id,target_gas_cost,real_gas,shown_optimal,no_model_found,source_gas_cost,saved_gas,solver_time_in_sec,target_disasm,init_progr_len,final_progr_len,number_of_necessary_uninterpreted_instructions,number_of_necessary_push,bytes_required,original_instrs,original_bytes,saved_bytes
100,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block15_input,3.0,9,True,False,9,0.0,0.013,DUP1 PUSH a457c2d7 EQ ,3,3.0,1,1,7.0,"['DUP1', 'PUSH4', 'EQ']",7,0.0
101,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block49_input,7.0,21,True,False,21,0.0,0.025,PUSH 40 MLOAD PUSH 12 DUP2 MSTORE PUSH 20 ADD ,7,7.0,3,3,10.0,"['PUSH1', 'MLOAD', 'PUSH1', 'DUP2', 'MSTORE', 'PUSH1', 'ADD']",10,0.0
102,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block217_input,3.0,8,True,False,8,0.0,0.013,POP SUB SWAP1 ,3,3.0,1,0,3.0,"['POP', 'SUB', 'SWAP1']",3,0.0
103,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block163_input,9.0,27,True,False,29,2.0,0.442,DUP6 PUSH 1f SWAP3 DUP7 ADD SWAP3 DUP4 ADD SLT ,10,9.0,3,1,10.0,"['DUP2', 'DUP6', 'ADD', 'SWAP2', 'POP', 'DUP6', 'PUSH1', 'DUP4', 'ADD', 'SLT']",11,1.0
104,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block153.1_input,3.0,9,True,False,9,0.0,0.015,ISZERO DUP1 ISZERO ,3,3.0,2,0,3.0,"['ISZERO', 'DUP1', 'ISZERO']",3,0.0
105,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block125_input,27.0,81,True,False,93,12.0,22.615,PUSH 40 MLOAD PUSH 7265737300000000000000000000000000000000000000000000000000000000 DUP2 PUSH 20 PUSH 8c379a000000000000000000000000000000000000000000000000000000000 DUP3 MSTORE DUP2 PUSH 4 ADD MSTORE PUSH 24 DUP4 DUP2 ADD MSTORE PUSH 64 ADD PUSH 45524332303a20617070726f76652066726f6d20746865207a65726f20616464 PUSH 44 DUP5 ADD MSTORE MSTORE PUSH 84 ADD ,27,27.0,11,10,130.0,"['PUSH1', 'MLOAD', 'PUSH3', 'PUSH1', 'SHL', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'DUP1', 'DUP3', 'ADD', 'MSTORE', 'PUSH32', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH4', 'PUSH1', 'SHL', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'ADD']",79,-51.0
106,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block110_input,6.0,14,True,False,17,3.0,0.037,POP POP POP POP PUSH 1 SWAP1 ,7,6.0,0,1,7.0,"['POP', 'PUSH1', 'SWAP4', 'SWAP3', 'POP', 'POP', 'POP']",8,1.0
107,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block107_input,,,False,True,849,,50.086,,29,,10,5,,"['CALLER', 'PUSH1', 'SWAP1', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'SWAP1', 'DUP2', 'MSTORE', 'PUSH1', 'DUP1', 'DUP4', 'KECCAK256', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'DUP7', 'AND', 'DUP5', 'MSTORE', 'SWAP1', 'SWAP2', 'MSTORE', 'DUP2', 'KECCAK256', 'SLOAD', 'DUP3', 'DUP2', 'LT', 'ISZERO']",40,
108,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block97_input,10.0,5724,True,False,5769,45.0,0.481,PUSH ffffffffffffffffffffffffffffffffffffffff PUSH 3 SLOAD PUSH ffffffffffffffffffffffff0000000000000000000000000000000000000000 AND SWAP2 AND OR PUSH 3 SSTORE ,17,10.0,5,3,64.0,"['PUSH1', 'DUP1', 'SLOAD', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'NOT', 'AND', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'SWAP3', 'SWAP1', 'SWAP3', 'AND', 'SWAP2', 'SWAP1', 'SWAP2', 'OR', 'SWAP1', 'SSTORE']",32,-32.0
109,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block188_input,5.0,12,True,False,12,0.0,0.029,SWAP3 POP POP POP SWAP1 ,5,5.0,0,0,5.0,"['SWAP4', 'SWAP3', 'POP', 'POP', 'POP']",5,0.0
